"We have noticed that you are visiting this website from ""%1"".","Nous avons remarqué que vous visitez ce site depuis ""%1""."
"If we have set the country incorrectly, please change the country using our country list (at the top right of the screen).","Si nous avons mal réglé le pays, veuillez changer de pays à l'aide de notre liste de pays (en haut à droite de l'écran)."
"Thank you very much and enjoy your visit in the %1-Shop.","Merci beaucoup et bon achat dans le %1-Shop."
