"We have noticed that you are visiting this website from ""%1"".","Hemos notado que usted está visitando esta página web desde ""%1""."
"If we have set the country incorrectly, please change the country using our country list (at the top right of the screen).","Si hemos configurado el país de forma incorrecta, cambie el país utilizando nuestra lista de países (en la parte superior derecha de la pantalla)."
"Thank you very much and enjoy your visit in the %1-Shop.","Muchas gracias y disfrute de su compra en la tienda %1."
